开始 s5_t100 / mode_sdas_dpic，时间：2026-05-27T10:47:56
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS-DPIC Full

========== MODE-SDAS-DPIC Full Run 1/8 ==========
Init: HV=0.5327, feasible ratio=0.83
Gen  79: profit_max=318.00, profit_avg=152.22, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=159.51, tasks_avg=26.46, HV=0.4810, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  80: profit_max=318.00, profit_avg=154.77, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=161.44, tasks_avg=26.85, HV=0.4816, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  81: profit_max=318.00, profit_avg=154.86, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=161.25, tasks_avg=26.79, HV=0.4821, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=17
Gen  82: profit_max=318.00, profit_avg=155.28, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=161.83, tasks_avg=26.81, HV=0.4823, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=17
Gen  83: profit_max=318.00, profit_avg=155.84, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=162.86, tasks_avg=26.97, HV=0.4832, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=17
Gen  84: profit_max=318.00, profit_avg=155.71, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=162.79, tasks_avg=26.92, HV=0.4853, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=17
Gen  85: profit_max=318.00, profit_avg=156.32, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=163.99, tasks_avg=27.15, HV=0.4834, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=17
Gen  86: profit_max=318.00, profit_avg=156.39, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=164.21, tasks_avg=27.18, HV=0.4834, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=17
Gen  87: profit_max=318.00, profit_avg=155.97, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=163.52, tasks_avg=27.09, HV=0.4828, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=17
Gen  88: profit_max=318.00, profit_avg=155.96, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=163.17, tasks_avg=27.08, HV=0.4825, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=17
Gen  89: profit_max=318.00, profit_avg=155.45, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=163.17, tasks_avg=27.02, HV=0.4818, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=17
Gen  90: profit_max=318.00, profit_avg=157.01, load_min=0.00, att_min=0.00, quality_max=326.95, quality_avg=164.14, tasks_avg=27.19, HV=0.4835, feasible ratio=1.00, Nsub=11, fea_archive=200, inf_archive=17
