ÂºÄÂßã s5_t100 / mode_sdasÔºåÊó∂Èó¥Ôºö2026-05-25T07:31:39
ÂëΩ‰ª§ F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS

========== MODE-SDAS Run 1/8 ==========
Init: HV=0.5651, feasible ratio=0.80
Gen   1: profit_max=   60.00, profit_avg=   22.29, load_min=      0.00, att_min=      0.00, quality_max=     80.96, quality_avg=     31.15, tasks_avg=  4.88, HV=0.4824, feasible ratio=1.00
Gen  77: profit_max=  317.00, profit_avg=  157.80, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    179.14, tasks_avg= 29.16, HV=0.4691, feasible ratio=1.00
Gen  78: profit_max=  317.00, profit_avg=  156.55, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    177.40, tasks_avg= 28.94, HV=0.4734, feasible ratio=1.00
Gen  79: profit_max=  317.00, profit_avg=  156.81, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    177.67, tasks_avg= 28.99, HV=0.4751, feasible ratio=1.00
Gen  80: profit_max=  317.00, profit_avg=  155.84, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    175.09, tasks_avg= 28.70, HV=0.4721, feasible ratio=1.00
Gen  81: profit_max=  317.00, profit_avg=  157.46, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    175.27, tasks_avg= 28.89, HV=0.4718, feasible ratio=1.00
Gen  82: profit_max=  317.00, profit_avg=  157.23, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    174.75, tasks_avg= 28.91, HV=0.4641, feasible ratio=1.00
Gen  83: profit_max=  317.00, profit_avg=  158.46, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    175.82, tasks_avg= 29.10, HV=0.4642, feasible ratio=1.00
Gen  84: profit_max=  317.00, profit_avg=  157.80, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    175.68, tasks_avg= 29.02, HV=0.4636, feasible ratio=1.00
Gen  85: profit_max=  324.00, profit_avg=  153.03, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    172.55, tasks_avg= 28.19, HV=0.4544, feasible ratio=1.00
Gen  86: profit_max=  324.00, profit_avg=  156.07, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    176.06, tasks_avg= 28.60, HV=0.4593, feasible ratio=1.00
Gen  87: profit_max=  324.00, profit_avg=  155.96, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    175.27, tasks_avg= 28.55, HV=0.4590, feasible ratio=1.00
Gen  88: profit_max=  324.00, profit_avg=  157.48, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    176.49, tasks_avg= 28.76, HV=0.4590, feasible ratio=1.00
Gen  89: profit_max=  324.00, profit_avg=  157.61, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    176.10, tasks_avg= 28.72, HV=0.4591, feasible ratio=1.00
Gen  90: profit_max=  324.00, profit_avg=  158.80, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    176.25, tasks_avg= 28.79, HV=0.4575, feasible ratio=1.00
Gen  91: profit_max=  324.00, profit_avg=  159.74, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    177.02, tasks_avg= 28.89, HV=0.4584, feasible ratio=1.00
Gen  92: profit_max=  324.00, profit_avg=  158.35, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    175.34, tasks_avg= 28.63, HV=0.4619, feasible ratio=1.00
Gen  93: profit_max=  324.00, profit_avg=  158.07, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    174.46, tasks_avg= 28.57, HV=0.4619, feasible ratio=1.00
Gen  94: profit_max=  324.00, profit_avg=  159.41, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    175.61, tasks_avg= 28.79, HV=0.4631, feasible ratio=1.00
Gen  95: profit_max=  324.00, profit_avg=  159.57, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    175.83, tasks_avg= 28.78, HV=0.4660, feasible ratio=1.00
Gen  96: profit_max=  324.00, profit_avg=  158.70, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    175.15, tasks_avg= 28.64, HV=0.4599, feasible ratio=1.00
Gen  97: profit_max=  324.00, profit_avg=  160.47, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    175.83, tasks_avg= 28.97, HV=0.4604, feasible ratio=1.00
Gen  98: profit_max=  334.00, profit_avg=  165.17, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    180.50, tasks_avg= 29.78, HV=0.4459, feasible ratio=1.00
Gen  99: profit_max=  334.00, profit_avg=  163.44, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    178.44, tasks_avg= 29.44, HV=0.4450, feasible ratio=1.00
Gen 100: profit_max=  334.00, profit_avg=  162.22, load_min=      0.00, att_min=      0.00, quality_max=    367.27, quality_avg=    177.12, tasks_avg= 29.24, HV=0.4440, feasible ratio=1.00
Final feasible solutions used for summary/HV: 100/100
Run 1 best: profit=334.0, load=0.00, att=0.00, quality=367.27

========== MODE-SDAS Run 2/8 ==========
Init: HV=0.6153, feasible ratio=0.78
Gen   1: profit_max=   59.00, profit_avg=   21.88, load_min=      0.00, att_min=      0.00, quality_max=     64.39, quality_avg=     26.41, tasks_avg=  4.13, HV=0.5392, feasible ratio=1.00
Gen   2: profit_max=   78.00, profit_avg=   33.77, load_min=      0.00, att_min=      0.00, quality_max=     90.94, quality_avg=     39.58, tasks_avg=  6.42, HV=0.5153, feasible ratio=1.00
Gen   3: profit_max=  119.00, profit_avg=   46.56, load_min=      0.00, att_min=      0.00, quality_max=    120.44, quality_avg=     53.47, tasks_avg=  8.74, HV=0.4713, feasible ratio=1.00
Gen   4: profit_max=  153.00, profit_avg=   58.70, load_min=      0.00, att_min=      0.00, quality_max=    210.45, quality_avg=     70.19, tasks_avg= 11.37, HV=0.3725, feasible ratio=1.00
Gen   5: profit_max=  163.00, profit_avg=   66.34, load_min=      0.00, att_min=      0.00, quality_max=    210.45, quality_avg=     77.87, tasks_avg= 12.73, HV=0.3758, feasible ratio=1.00
Gen   6: profit_max=  169.00, profit_avg=   79.13, load_min=      0.00, att_min=      0.00, quality_max=    210.45, quality_avg=     91.60, tasks_avg= 15.08, HV=0.3818, feasible ratio=1.00
Gen   7: profit_max=  169.00, profit_avg=   80.13, load_min=      0.00, att_min=      0.00, quality_max=    218.54, quality_avg=     91.75, tasks_avg= 15.24, HV=0.3703, feasible ratio=1.00
Gen   8: profit_max=  202.00, profit_avg=   87.25, load_min=      0.00, att_min=      0.00, quality_max=    233.59, quality_avg=    100.59, tasks_avg= 16.67, HV=0.4479, feasible ratio=1.00
Gen   9: profit_max=  202.00, profit_avg=   91.25, load_min=      0.00, att_min=      0.00, quality_max=    233.59, quality_avg=    104.19, tasks_avg= 17.32, HV=0.4737, feasible ratio=1.00
Gen  10: profit_max=  202.00, profit_avg=   94.66, load_min=      0.00, att_min=      0.00, quality_max=    233.59, quality_avg=    108.57, tasks_avg= 18.00, HV=0.4956, feasible ratio=1.00
Gen  11: profit_max=  205.00, profit_avg=   95.53, load_min=      0.00, att_min=      0.00, quality_max=    233.59, quality_avg=    109.59, tasks_avg= 18.02, HV=0.5125, feasible ratio=1.00
Gen  12: profit_max=  205.00, profit_avg=   96.74, load_min=      0.00, att_min=      0.00, quality_max=    233.59, quality_avg=    110.74, tasks_avg= 18.23, HV=0.5191, feasible ratio=1.00
Gen  13: profit_max=  210.00, profit_avg=  102.58, load_min=      0.00, att_min=      0.00, quality_max=    245.62, quality_avg=    118.32, tasks_avg= 19.33, HV=0.4984, feasible ratio=1.00
Gen  14: profit_max=  210.00, profit_avg=  100.20, load_min=      0.00, att_min=      0.00, quality_max=    245.62, quality_avg=    115.69, tasks_avg= 18.93, HV=0.4983, feasible ratio=1.00
Gen  15: profit_max=  210.00, profit_avg=  101.75, load_min=      0.00, att_min=      0.00, quality_max=    245.62, quality_avg=    117.28, tasks_avg= 19.19, HV=0.4993, feasible ratio=1.00
Gen  16: profit_max=  210.00, profit_avg=  103.16, load_min=      0.00, att_min=      0.00, quality_max=    245.62, quality_avg=    118.36, tasks_avg= 19.45, HV=0.5230, feasible ratio=1.00
Gen  17: profit_max=  246.00, profit_avg=  106.22, load_min=      0.00, att_min=      0.00, quality_max=    275.44, quality_avg=    122.07, tasks_avg= 20.04, HV=0.4221, feasible ratio=1.00
Gen  18: profit_max=  246.00, profit_avg=  105.41, load_min=      0.00, att_min=      0.00, quality_max=    275.44, quality_avg=    121.83, tasks_avg= 19.93, HV=0.4219, feasible ratio=1.00
Gen  19: profit_max=  246.00, profit_avg=  104.77, load_min=      0.00, att_min=      0.00, quality_max=    275.44, quality_avg=    121.14, tasks_avg= 19.79, HV=0.4245, feasible ratio=1.00
Gen  20: profit_max=  246.00, profit_avg=  110.25, load_min=      0.00, att_min=      0.00, quality_max=    275.44, quality_avg=    128.24, tasks_avg= 20.91, HV=0.4307, feasible ratio=1.00
Gen  21: profit_max=  246.00, profit_avg=  110.40, load_min=      0.00, att_min=      0.00, quality_max=    275.44, quality_avg=    128.85, tasks_avg= 20.93, HV=0.4334, feasible ratio=1.00
Gen  22: profit_max=  246.00, profit_avg=  115.84, load_min=      0.00, att_min=      0.00, quality_max=    291.90, quality_avg=    135.17, tasks_avg= 21.99, HV=0.4122, feasible ratio=1.00
Gen  23: profit_max=  246.00, profit_avg=  110.26, load_min=      0.00, att_min=      0.00, quality_max=    291.90, quality_avg=    128.34, tasks_avg= 20.89, HV=0.4304, feasible ratio=1.00
Gen  24: profit_max=  247.00, profit_avg=  112.00, load_min=      0.00, att_min=      0.00, quality_max=    291.90, quality_avg=    130.49, tasks_avg= 21.11, HV=0.4684, feasible ratio=1.00
Gen  25: profit_max=  247.00, profit_avg=  112.62, load_min=      0.00, att_min=      0.00, quality_max=    291.90, quality_avg=    131.45, tasks_avg= 21.21, HV=0.4686, feasible ratio=1.00
Gen  26: profit_max=  247.00, profit_avg=  118.52, load_min=      0.00, att_min=      0.00, quality_max=    291.90, quality_avg=    137.17, tasks_avg= 22.28, HV=0.4705, feasible ratio=1.00
Gen  27: profit_max=  247.00, profit_avg=  118.09, load_min=      0.00, att_min=      0.00, quality_max=    291.90, quality_avg=    136.90, tasks_avg= 22.26, HV=0.4705, feasible ratio=1.00
Gen  28: profit_max=  247.00, profit_avg=  116.86, load_min=      0.00, att_min=      0.00, quality_max=    291.90, quality_avg=    135.73, tasks_avg= 22.01, HV=0.4711, feasible ratio=1.00
