开始 s5_t300 / mode_sdas_dual_archive，时间：2026-05-25T22:07:31
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + Dual Archive

========== MODE-SDAS + Dual Archive Run 1/8 ==========
Init: HV=0.3074, feasible ratio=0.51
Gen  51: profit_max=487.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3620, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  52: profit_max=487.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3629, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  53: profit_max=487.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3629, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  54: profit_max=487.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3757, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  55: profit_max=487.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3757, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  56: profit_max=487.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3757, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  57: profit_max=487.00 load_min=69.20, att_min=0.00, quality_max=423.09 HV=0.3758, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  58: profit_max=502.00 load_min=69.20, att_min=0.00, quality_max=445.23 HV=0.3479, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  59: profit_max=502.00 load_min=69.20, att_min=0.00, quality_max=445.23 HV=0.3479, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  60: profit_max=502.00 load_min=69.20, att_min=0.00, quality_max=445.23 HV=0.3479, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  61: profit_max=502.00 load_min=69.20, att_min=0.00, quality_max=445.23 HV=0.3486, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  62: profit_max=502.00 load_min=69.20, att_min=0.00, quality_max=445.23 HV=0.3487, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  63: profit_max=502.00 load_min=69.20, att_min=0.00, quality_max=445.23 HV=0.3487, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  64: profit_max=502.00 load_min=69.20, att_min=0.00, quality_max=445.23 HV=0.3486, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  65: profit_max=502.00 load_min=69.20, att_min=0.00, quality_max=445.23 HV=0.3488, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  66: profit_max=502.00 load_min=69.20, att_min=0.00, quality_max=445.23 HV=0.3493, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  67: profit_max=502.00 load_min=69.20, att_min=0.00, quality_max=445.23 HV=0.3494, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  68: profit_max=502.00 load_min=69.20, att_min=0.00, quality_max=445.23 HV=0.3486, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  69: profit_max=502.00 load_min=69.20, att_min=0.00, quality_max=445.23 HV=0.3486, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  70: profit_max=502.00 load_min=69.20, att_min=0.00, quality_max=445.23 HV=0.3486, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  71: profit_max=502.00 load_min=69.20, att_min=0.00, quality_max=445.23 HV=0.3486, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  72: profit_max=502.00 load_min=69.20, att_min=0.00, quality_max=445.23 HV=0.3486, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  73: profit_max=502.00 load_min=69.20, att_min=0.00, quality_max=445.23 HV=0.3486, feasible ratio=1.00, fea_archive=200, inf_archive=94
Gen  74: profit_max=502.00 load_min=69.20, att_min=0.00, quality_max=445.23 HV=0.3486, feasible ratio=1.00, fea_archive=200, inf_archive=94
