START s5_t300 / mode_sdas_dpic_dual_archive: 2026-05-28T09:32:28
COMMAND F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS + DPIC + Dual Archive

========== MODE-SDAS + DPIC + Dual Archive Run 1/8 ==========
Init: HV=0.3376, feasible ratio=0.48
Gen   7: profit_max=331.00, profit_avg=121.19, load_min=27.04, att_min=39.96, quality_max=314.35, quality_avg=126.05, tasks_avg=20.81, HV=0.2833, feasible ratio=1.00, fea_archive=200, inf_archive=88
Gen   8: profit_max=331.00, profit_avg=130.19, load_min=27.04, att_min=39.96, quality_max=314.35, quality_avg=135.68, tasks_avg=22.39, HV=0.2898, feasible ratio=1.00, fea_archive=200, inf_archive=88
Gen   9: profit_max=378.00, profit_avg=134.01, load_min=27.04, att_min=39.96, quality_max=355.43, quality_avg=138.95, tasks_avg=23.03, HV=0.2995, feasible ratio=1.00, fea_archive=200, inf_archive=88
Gen  10: profit_max=378.00, profit_avg=138.30, load_min=27.04, att_min=39.96, quality_max=355.43, quality_avg=143.50, tasks_avg=23.73, HV=0.3010, feasible ratio=1.00, fea_archive=200, inf_archive=88
Gen  11: profit_max=378.00, profit_avg=141.11, load_min=27.04, att_min=39.96, quality_max=365.14, quality_avg=147.23, tasks_avg=24.26, HV=0.3092, feasible ratio=1.00, fea_archive=200, inf_archive=88
Gen  12: profit_max=378.00, profit_avg=143.18, load_min=27.04, att_min=39.96, quality_max=365.14, quality_avg=149.37, tasks_avg=24.66, HV=0.3102, feasible ratio=1.00, fea_archive=200, inf_archive=88
Gen  13: profit_max=378.00, profit_avg=145.60, load_min=27.04, att_min=39.96, quality_max=365.14, quality_avg=152.88, tasks_avg=25.18, HV=0.3125, feasible ratio=1.00, fea_archive=200, inf_archive=88
Gen  14: profit_max=378.00, profit_avg=148.40, load_min=27.04, att_min=39.96, quality_max=365.14, quality_avg=154.64, tasks_avg=25.50, HV=0.3313, feasible ratio=1.00, fea_archive=200, inf_archive=88
Gen  15: profit_max=378.00, profit_avg=148.80, load_min=27.04, att_min=39.96, quality_max=365.14, quality_avg=155.11, tasks_avg=25.54, HV=0.3315, feasible ratio=1.00, fea_archive=200, inf_archive=88
Gen  16: profit_max=378.00, profit_avg=152.72, load_min=27.04, att_min=39.96, quality_max=365.14, quality_avg=158.52, tasks_avg=26.19, HV=0.3337, feasible ratio=1.00, fea_archive=200, inf_archive=88
Gen  17: profit_max=378.00, profit_avg=161.09, load_min=27.04, att_min=39.96, quality_max=365.14, quality_avg=167.70, tasks_avg=27.65, HV=0.3553, feasible ratio=1.00, fea_archive=200, inf_archive=88
Gen  18: profit_max=378.00, profit_avg=164.78, load_min=27.04, att_min=39.96, quality_max=365.14, quality_avg=171.95, tasks_avg=28.32, HV=0.3553, feasible ratio=1.00, fea_archive=200, inf_archive=88
Gen  19: profit_max=378.00, profit_avg=164.78, load_min=27.04, att_min=39.96, quality_max=365.14, quality_avg=171.95, tasks_avg=28.32, HV=0.3553, feasible ratio=1.00, fea_archive=200, inf_archive=88
Gen  20: profit_max=378.00, profit_avg=163.77, load_min=27.04, att_min=39.96, quality_max=365.14, quality_avg=170.05, tasks_avg=28.05, HV=0.3621, feasible ratio=1.00, fea_archive=200, inf_archive=88
Gen  21: profit_max=378.00, profit_avg=164.59, load_min=27.04, att_min=39.96, quality_max=365.14, quality_avg=170.81, tasks_avg=28.20, HV=0.3622, feasible ratio=1.00, fea_archive=200, inf_archive=88
